Ordem,ID,Versão,Sprint,Componente,Forma de integração,Tipo,Tarefa,Passo de execução,Artefato a produzir,Critério de aceite,Dependências,Requisitos,Status,Prioridade na versão,Risco,Aplicabilidade,Responsável,Revisor humano,Data de aceite,Evidência exigida,Evidência obtida,ADR / justificativa,Fechamento,Observações
437,SL-S40-08,v0.7.0,S40,Qdrant OU HelixDB / produção,Integração,Implementação,Conectar lifecycle e métricas,"Abrir/fechar engine, gerenciar recursos e expor diagnóstico.",crates/search/src/lifecycle.rs,Engine não vira processo órfão e modo offline é observado.,SL-S40-07,R02; R20; R21; R30; R32,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S40/SL-S40-08.md,,,PENDENTE,
438,SL-S40-09,v0.7.0,S40,Qdrant OU HelixDB / produção,Integração,Teste,Executar conformidade de produção,"Rodar suite comum no adapter promovido, não apenas no protótipo.",reports/search/production-contract.json,Todos os requisitos essenciais aprovados na decisão continuam satisfeitos após integração.,SL-S40-08,R02; R20; R21; R30; R32,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S40/SL-S40-09.md,,,PENDENTE,
439,SL-S40-10,v0.7.0,S40,Qdrant OU HelixDB / produção,Integração,Licença,Remover dependências não escolhidas,"Atualizar SBOM, pacotes e documentação de instalação.",compliance/search-runtime.json,Pacote final contém somente o caminho adotado e suas licenças reais.,SL-S40-09,R02; R20; R21; R30; R32,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S40/SL-S40-10.md,,,PENDENTE,
440,SL-S40-GATE,v0.7.0,S40,Qdrant OU HelixDB / produção,Aceite humano,Gate,Aceitar S40 — Escolher e integrar um backend de busca,"Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S40/acceptance.md,Executar busca híbrida no app com apenas o backend escolhido instalado. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.,SL-S40-01; SL-S40-02; SL-S40-03; SL-S40-04; SL-S40-05; SL-S40-06; SL-S40-07; SL-S40-08; SL-S40-09; SL-S40-10,R02; R20; R21; R30; R32,Não iniciado,P0,Crítico,Obrigatória para fechar a versão aprovada,Autor,,,reports/S40/acceptance.md,,,PENDENTE,
441,SL-S41-01,v0.7.0,S41,SearchService / UI,Integração,Implementação,Conectar eventos à indexação,"Consumir captura, extração, edição da Peça e tombstones por revisão.",crates/search/src/index_jobs.rs,Evento repetido não duplica unidades e edição antiga não substitui a mais nova.,SL-S35-GATE; SL-S40-GATE,R02; R05; R13; R20; R21; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S41/SL-S41-01.md,,,PENDENTE,
442,SL-S41-02,v0.7.0,S41,SearchService / UI,Integração,Implementação,Fazer reindexação incremental,Reprocessar apenas unidades afetadas e propagar mudanças de manifesto.,crates/search/src/incremental.rs,Alteração de layout não dispara indexação textual novamente; troca de embedding inicia rebuild compatível.,SL-S41-01,R02; R05; R13; R20; R21; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S41/SL-S41-02.md,,,PENDENTE,
443,SL-S41-03,v0.7.0,S41,SearchService / UI,Integração,Implementação,Publicar rebuild atomicamente,Construir nova geração e trocar quando validada.,crates/search/src/rebuild.rs,"Interrupção mantém busca anterior ou degradação explícita, não índice parcialmente anunciado pronto.",SL-S41-02,R02; R05; R13; R20; R21; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S41/SL-S41-03.md,,,PENDENTE,
444,SL-S41-04,v0.7.0,S41,SearchService / UI,Integração,Implementação,Expor progresso e saúde,"Mostrar pendente, desatualizado, reconstruindo e falha por tipo de índice.",apps/desktop/src/search/health.ts,Usuário não confunde ausência de resultado com material não indexado.,SL-S41-03,R02; R05; R13; R20; R21; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S41/SL-S41-04.md,,,PENDENTE,
445,SL-S41-05,v0.7.0,S41,SearchService / UI,Integração,Implementação,Criar UI de busca híbrida,"Incluir filtros de tipo, workspace, origem e estado editorial.",apps/desktop/src/search/,Peças próprias podem ser excluídas quando se busca evidência externa.,SL-S41-04,R02; R05; R13; R20; R21; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S41/SL-S41-05.md,,,PENDENTE,
446,SL-S41-06,v0.7.0,S41,SearchService / UI,Integração,Implementação,Navegar ao trecho,Resolver hit por referência/revisão no leitor e na Peça.,apps/desktop/src/search/open-hit.ts,Hit antigo é detectado e não abre o trecho errado da revisão atual.,SL-S41-05,R02; R05; R13; R20; R21; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S41/SL-S41-06.md,,,PENDENTE,
447,SL-S41-07,v0.7.0,S41,SearchService / UI,Integração,Implementação,Integrar taxonomia ao provider,Substituir lookup experimental de candidatos quando útil sem trocar política de decisão.,crates/taxonomy/src/search_adapter.rs,Modelo/índice de termos permanece identificado e não se mistura com embeddings de outro espaço.,SL-S41-06,R02; R05; R13; R20; R21; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S41/SL-S41-07.md,,,PENDENTE,
448,SL-S41-08,v0.7.0,S41,SearchService / UI,Integração,Teste,Validar relevância no corpus reservado,"Medir léxico, semântico e híbrido com rótulos estáveis.",reports/v0.7/relevance.json,"Ganho/perda por modalidade é registrado, sem declarar vencedor universal.",SL-S41-07,R02; R05; R13; R20; R21; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S41/SL-S41-08.md,,,PENDENTE,
449,SL-S41-09,v0.7.0,S41,SearchService / UI,Integração,Teste,Executar exclusão e isolamento,"Remover material, editar Peça e consultar em outro workspace.",tests/search/end-to-end/,Nenhum conteúdo excluído/desautorizado reaparece por cache ou job atrasado.,SL-S41-08,R02; R05; R13; R20; R21; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S41/SL-S41-09.md,,,PENDENTE,
450,SL-S41-10,v0.7.0,S41,SearchService / UI,Integração,Release,Publicar alpha de recuperação,"Documentar backend escolhido, limites e comando de reconstrução.",release/v0.7.0/,Apagar índices vetoriais/léxicos não perde materiais ou texto editorial.,SL-S41-09,R02; R05; R13; R20; R21; R31,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S41/SL-S41-10.md,,,PENDENTE,
451,SL-S41-GATE,v0.7.0,S41,SearchService / UI,Aceite humano,Gate,Aceitar S41 — Entregar busca incremental no acervo e nas Peças,"Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S41/acceptance.md,Editar/excluir material e verificar atualização da busca sem perder as fontes canônicas. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.,SL-S41-01; SL-S41-02; SL-S41-03; SL-S41-04; SL-S41-05; SL-S41-06; SL-S41-07; SL-S41-08; SL-S41-09; SL-S41-10,R02; R05; R13; R20; R21; R31,Não iniciado,P0,Crítico,Obrigatória para fechar a versão aprovada,Autor,,,reports/S41/acceptance.md,,,PENDENTE,
452,SL-S42-01,v0.8.0,S42,PageIndex / upstream,Desconstrução,Upstream,Fixar revisão PageIndex,"Registrar licença, dependências Python, APIs públicas e módulos internos usados.",upstream/pageindex/manifest.json,"Paths e versões são verificados na revisão escolhida, não assumidos a partir de documentação móvel.",SL-S03-GATE; SL-S23-GATE; SL-S32-GATE; SL-S41-GATE,R03; R22; R23; R30; R33,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S42/SL-S42-01.md,,,PENDENTE,
453,SL-S42-02,v0.8.0,S42,PageIndex / upstream,Desconstrução,Upstream,Reproduzir baseline Markdown,Exercitar page_index_md ou equivalente real com fixture e modelo controlado.,reports/pageindex/upstream-baseline.md,Entrada/saída e comportamento de IDs/headings estão documentados.,SL-S42-01,R03; R22; R23; R30; R33,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S42/SL-S42-02.md,,,PENDENTE,
454,SL-S42-03,v0.8.0,S42,PageIndex / upstream,Desconstrução,Upstream,Mapear acoplamentos,"Identificar store, nomes de documento, páginas, provedores, prompts e frameworks de agentes.",docs/upstream/pageindex-couplings.md,Cloud e operações de gestão de biblioteca não entram implicitamente no adapter de células.,SL-S42-02,R03; R22; R23; R30; R33,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S42/SL-S42-03.md,,,PENDENTE,
455,SL-S42-04,v0.8.0,S42,PageIndex / upstream,Desconstrução,Upstream,Delimitar módulos úteis,Selecionar construção/navegação/resumos e utilitários necessários por grafo de dependências.,upstream/pageindex/slice.json,Não se copia função isolada com dependências wildcard desconhecidas.,SL-S42-03,R03; R22; R23; R30; R33,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S42/SL-S42-04.md,,,PENDENTE,
456,SL-S42-05,v0.8.0,S42,PageIndex / upstream,Desconstrução,Implementação,Criar fachada ContextProvider,Expor contratos Sandland sem vazar nomes de documento/página como identidade.,adapters/pageindex/,App não depende de DocStore nem de IDs sequenciais internos para autoria.,SL-S42-04,R03; R22; R23; R30; R33,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S42/SL-S42-05.md,,,PENDENTE,
457,SL-S42-06,v0.8.0,S42,PageIndex / upstream,Desconstrução,Implementação,Criar porta de modelos,Redirecionar chamadas de resumo/navegação ao ModelGateway autorizado.,adapters/pageindex/model_port.py,Configuração padrão não envia células a provedor remoto do upstream.,SL-S42-05,R03; R22; R23; R30; R33,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S42/SL-S42-06.md,,,PENDENTE,
458,SL-S42-07,v0.8.0,S42,PageIndex / upstream,Desconstrução,Implementação,Criar porta de evidências,Intermediar toda leitura pelo broker e pelas referências autorizadas.,adapters/pageindex/evidence_port.py,Prompt de contexto não é a única barreira de acesso à biblioteca.,SL-S42-06,R03; R22; R23; R30; R33,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S42/SL-S42-07.md,,,PENDENTE,
459,SL-S42-08,v0.8.0,S42,PageIndex / upstream,Desconstrução,Implementação,Criar patch set testável,Isolar mudanças do núcleo e conservar avisos/origem.,upstream/pageindex/patches/,Diferenças são reproduzíveis e possuem fixtures; não há fork integral sem necessidade.,SL-S42-07,R03; R22; R23; R30; R33,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S42/SL-S42-08.md,,,PENDENTE,
460,SL-S42-09,v0.8.0,S42,PageIndex / upstream,Desconstrução,Decisão,Ratificar ADR de contexto,"Resolver ADR-014, manter árvore como projeção e escolher responsabilidades do adapter.",docs/adr/014-context-engine.md,Grafo completo continua canônico fora da árvore; nome RLM é definido sem ambiguidade.,SL-S42-08,R03; R22; R23; R30; R33,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor,,,reports/S42/SL-S42-09.md,,,PENDENTE,
461,SL-S42-10,v0.8.0,S42,PageIndex / upstream,Desconstrução,Teste,Validar isolamento inicial,"Executar contexto fake sem SDK cloud, filesystem geral ou dependências não necessárias.",reports/pageindex/isolation.json,Uso offline e perímetro de leitura são demonstrados antes de ligar a UI.,SL-S42-09,R03; R22; R23; R30; R33,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S42/SL-S42-10.md,,,PENDENTE,
462,SL-S42-GATE,v0.8.0,S42,PageIndex / upstream,Aceite humano,Gate,Aceitar S42 — Auditar e recortar PageIndex para células,"Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S42/acceptance.md,Construir índice de Markdown de fixture sem PDF e sem store canônico do SDK. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.,SL-S42-01; SL-S42-02; SL-S42-03; SL-S42-04; SL-S42-05; SL-S42-06; SL-S42-07; SL-S42-08; SL-S42-09; SL-S42-10,R03; R22; R23; R30; R33,Não iniciado,P0,Crítico,Obrigatória para fechar a versão aprovada,Autor,,,reports/S42/acceptance.md,,,PENDENTE,
463,SL-S43-01,v0.8.0,S43,PageIndex / StructureAdapter,Adaptação,Contrato,Definir WorkspaceSnapshot,"Combinar hierarquia, relações, layout, fontes e revisões com schema explícito.",schemas/workspace-snapshot-v0.json,Snapshot representa ciclos/arestas cruzadas fora da árvore de navegação.,SL-S17-GATE; SL-S42-GATE,R02; R04; R11; R22; R32,Não iniciado,P0,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S43/SL-S43-01.md,,,PENDENTE,
464,SL-S43-02,v0.8.0,S43,PageIndex / StructureAdapter,Adaptação,Implementação,Construir snapshot coerente,Ler revisão consistente de board e conteúdos pelo Core.,crates/context/src/snapshot.rs,Não combina geometria nova com texto antigo sem registrar as revisões usadas.,SL-S43-01,R02; R04; R11; R22; R32,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S43/SL-S43-02.md,,,PENDENTE,
465,SL-S43-03,v0.8.0,S43,PageIndex / StructureAdapter,Adaptação,Implementação,Projetar grupos/células/blocos,Usar estrutura existente do produto em vez de inferi-la novamente por LLM.,adapters/pageindex/structure_adapter.py,Célula não é convertida em PDF e grupo manual não é substituído por cluster inventado.,SL-S43-02,R02; R04; R11; R22; R32,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S43/SL-S43-03.md,,,PENDENTE,
466,SL-S43-04,v0.8.0,S43,PageIndex / StructureAdapter,Adaptação,Implementação,Mapear IDs estáveis,Traduzir node_id interno para identidade Sandland com revision key.,adapters/pageindex/identity.py,Inserir um nó não renumera todas as evidências existentes.,SL-S43-03,R02; R04; R11; R22; R32,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S43/SL-S43-04.md,,,PENDENTE,
467,SL-S43-05,v0.8.0,S43,PageIndex / StructureAdapter,Adaptação,Implementação,Preservar referências cruzadas,Guardar arestas tipadas/direção e ocorrências múltiplas em estrutura auxiliar.,crates/context/src/relations.rs,Tree thinning não elimina células/arestas autorais.,SL-S43-04,R02; R04; R11; R22; R32,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S43/SL-S43-05.md,,,PENDENTE,
468,SL-S43-06,v0.8.0,S43,PageIndex / StructureAdapter,Adaptação,Implementação,Representar geometria relevante,Conservar bounds/grupos e distinguir posição observada de relação semântica.,crates/context/src/layout.rs,Proximidade não é convertida automaticamente em apoio causal ou factual.,SL-S43-05,R02; R04; R11; R22; R32,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S43/SL-S43-06.md,,,PENDENTE,
469,SL-S43-07,v0.8.0,S43,PageIndex / StructureAdapter,Adaptação,Implementação,Mapear blocos/fontes,Associar folhas a conteúdo e evidências com localizadores corretos.,adapters/pageindex/source_mapping.py,Leitura de folha resolve a revisão exata e não uma página fictícia.,SL-S43-06,R02; R04; R11; R22; R32,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S43/SL-S43-07.md,,,PENDENTE,
470,SL-S43-08,v0.8.0,S43,PageIndex / StructureAdapter,Adaptação,Implementação,Persistir cache derivado,"Versionar schema, pipeline e hashes sem duplicar autoridade canônica.",crates/context/src/cache.rs,Apagar árvore/summary cache permite reconstrução dos arquivos.,SL-S43-07,R02; R04; R11; R22; R32,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S43/SL-S43-08.md,,,PENDENTE,
471,SL-S43-09,v0.8.0,S43,PageIndex / StructureAdapter,Adaptação,Teste,Testar casos topológicos,"Cobrir ciclos, grupos sobrepostos admitidos, notas repetidas e órfãos.",tests/context/structure/,Dados não representáveis na árvore continuam recuperáveis pelas relações.,SL-S43-08,R02; R04; R11; R22; R32,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S43/SL-S43-09.md,,,PENDENTE,
472,SL-S43-10,v0.8.0,S43,PageIndex / StructureAdapter,Adaptação,Teste,Testar estabilidade incremental,Reordenar/renomear/mover mantendo conjunto de evidências.,reports/context/identity-stability.json,Apenas revisões realmente afetadas mudam; nenhuma referência é redirecionada por índice posicional.,SL-S43-09,R02; R04; R11; R22; R32,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S43/SL-S43-10.md,,,PENDENTE,
473,SL-S43-GATE,v0.8.0,S43,PageIndex / StructureAdapter,Aceite humano,Gate,Aceitar S43 — Projetar a topologia em índice estrutural estável,"Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S43/acceptance.md,"Renomear notas, mover cartões e reconstruir mantendo IDs e referências. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.",SL-S43-01; SL-S43-02; SL-S43-03; SL-S43-04; SL-S43-05; SL-S43-06; SL-S43-07; SL-S43-08; SL-S43-09; SL-S43-10,R02; R04; R11; R22; R32,Não iniciado,P0,Alto,Obrigatória para fechar a versão aprovada,Autor,,,reports/S43/acceptance.md,,,PENDENTE,
474,SL-S44-01,v0.8.0,S44,ToolBroker / PageIndex,Adaptação,Contrato,Definir catálogo de ferramentas,"Especificar args, resultados, leitura, limites e erros de cada operação.",schemas/context-tools-v0.json,Nenhuma ferramenta aceita path arbitrário como substituto de EvidenceRef.,SL-S09-GATE; SL-S26-GATE; SL-S43-GATE,R06; R08; R22; R23,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S44/SL-S44-01.md,,,PENDENTE,
475,SL-S44-02,v0.8.0,S44,ToolBroker / PageIndex,Adaptação,Implementação,Implementar overview limitado,Retornar mapa global resumido por orçamento e snapshot.,crates/context-tools/src/overview.rs,Board grande não injeta automaticamente todas as células no prompt.,SL-S44-01,R06; R08; R22; R23,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S44/SL-S44-02.md,,,PENDENTE,
476,SL-S44-03,v0.8.0,S44,ToolBroker / PageIndex,Adaptação,Implementação,Implementar leitura de grupo,Paginar membros/relações e manter revisão coerente.,crates/context-tools/src/group.rs,"Limites são impostos em código, não dependem de modelo obedecer instrução.",SL-S44-02,R06; R08; R22; R23,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S44/SL-S44-03.md,,,PENDENTE,
477,SL-S44-04,v0.8.0,S44,ToolBroker / PageIndex,Adaptação,Implementação,Implementar leitura de célula,Permitir ranges/blocos e devolução de referência de origem.,crates/context-tools/src/cell.rs,Leitura recusa célula de outro workspace não autorizada.,SL-S44-03,R06; R08; R22; R23,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S44/SL-S44-04.md,,,PENDENTE,
478,SL-S44-05,v0.8.0,S44,ToolBroker / PageIndex,Adaptação,Implementação,Implementar vizinhos/arestas,"Filtrar relação, direção e profundidade; controlar ciclos.",crates/context-tools/src/neighbors.rs,Traversal termina no limite e não perde tipo apoia/contradiz.,SL-S44-04,R06; R08; R22; R23,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S44/SL-S44-05.md,,,PENDENTE,
479,SL-S44-06,v0.8.0,S44,ToolBroker / PageIndex,Adaptação,Implementação,Implementar leitura de fonte,Resolver asset/revisão/trecho autorizado por broker.,crates/context-tools/src/source.rs,Modelo não transforma URL/filename em permissão de filesystem.,SL-S44-05,R06; R08; R22; R23,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S44/SL-S44-06.md,,,PENDENTE,
480,SL-S44-07,v0.8.0,S44,ToolBroker / PageIndex,Adaptação,Implementação,Validar capability por chamada,"Checar expiração, revisão e budget acumulado antes de executar.",crates/context-tools/src/authorize.rs,Reutilizar ferramenta com token de outra tarefa é negado.,SL-S44-06,R06; R08; R22; R23,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S44/SL-S44-07.md,,,PENDENTE,
481,SL-S44-08,v0.8.0,S44,ToolBroker / PageIndex,Adaptação,Implementação,Limitar resultados e logs,Cortar por contrato com paginação explícita sem vazar corpo em logs.,crates/context-tools/src/limits.rs,Truncamento é sinalizado e não se confunde com evidência completa.,SL-S44-07,R06; R08; R22; R23,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S44/SL-S44-08.md,,,PENDENTE,
482,SL-S44-09,v0.8.0,S44,ToolBroker / PageIndex,Adaptação,Teste,Testar injeção de prompt,"Colocar instruções maliciosas em células, PDFs e resultados de ferramentas.",tests/context/tool-injection/,"Conteúdo não concede novas ferramentas, credenciais ou acesso a outro projeto.",SL-S44-08,R06; R08; R22; R23,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S44/SL-S44-09.md,,,PENDENTE,
483,SL-S44-10,v0.8.0,S44,ToolBroker / PageIndex,Adaptação,Teste,Auditar ferramentas de gestão,Garantir ausência de remove/upload/shell e outros comandos não aprovados no agente.,reports/context/tool-surface.md,Só o catálogo read-only aprovado é exposto nesta fase.,SL-S44-09,R06; R08; R22; R23,Não iniciado,P0,Crítico,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S44/SL-S44-10.md,,,PENDENTE,
484,SL-S44-GATE,v0.8.0,S44,ToolBroker / PageIndex,Aceite humano,Gate,Aceitar S44 — Criar ferramentas de contexto com escopo efetivo,"Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S44/acceptance.md,Modelo recebe ID fora do escopo e o broker nega mesmo com instrução em documento. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.,SL-S44-01; SL-S44-02; SL-S44-03; SL-S44-04; SL-S44-05; SL-S44-06; SL-S44-07; SL-S44-08; SL-S44-09; SL-S44-10,R06; R08; R22; R23,Não iniciado,P0,Crítico,Obrigatória para fechar a versão aprovada,Autor,,,reports/S44/acceptance.md,,,PENDENTE,
485,SL-S45-01,v0.8.0,S45,ContextService / LocalAI,Próprio,Contrato,Definir orçamento por camada,"Reservar tokens para sistema, pergunta, evidências e resposta.",docs/contracts/context-budget.md,Limite do modelo é verificado antes da chamada e não após erro de contexto.,SL-S33-GATE; SL-S43-GATE; SL-S44-GATE,R09; R19; R22; R23,Não iniciado,P0,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S45/SL-S45-01.md,,,PENDENTE,
486,SL-S45-02,v0.8.0,S45,ContextService / LocalAI,Próprio,Implementação,Gerar resumos de célula,Reutilizar resumo válido ou produzir síntese por conteúdo/revisão.,crates/context/src/cell_summary.rs,Resumo automático nunca substitui conteúdo nem comentário autoral editado.,SL-S45-01,R09; R19; R22; R23,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S45/SL-S45-02.md,,,PENDENTE,
487,SL-S45-03,v0.8.0,S45,ContextService / LocalAI,Próprio,Implementação,Gerar resumos de grupo,"Agregar filhos com references e relações relevantes, preservando divergências.",crates/context/src/group_summary.rs,Grupo não apaga evidência contraditória apenas para reduzir texto.,SL-S45-02,R09; R19; R22; R23,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S45/SL-S45-03.md,,,PENDENTE,
488,SL-S45-04,v0.8.0,S45,ContextService / LocalAI,Próprio,Implementação,Criar grafo de dependências,"Associar summaries a revisões de conteúdo, grupo, modelo e prompt.",crates/context/src/summary_dependencies.rs,Alteração local invalida somente ancestrais/dependências pertinentes.,SL-S45-03,R09; R19; R22; R23,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S45/SL-S45-04.md,,,PENDENTE,
489,SL-S45-05,v0.8.0,S45,ContextService / LocalAI,Próprio,Implementação,Criar Skeleton Map,Selecionar visão geral útil sem concatenar 100 palavras de cada nó.,crates/context/src/skeleton.rs,Cena de 1.000 nós respeita budget e oferece mecanismo de expansão.,SL-S45-04,R09; R19; R22; R23,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S45/SL-S45-05.md,,,PENDENTE,
490,SL-S45-06,v0.8.0,S45,ContextService / LocalAI,Próprio,Implementação,Integrar scheduler de summaries,Limitar concorrência e reagendar conforme hardware/pergunta ativa.,crates/context/src/summary_jobs.rs,Chamadas em massa do upstream não carregam múltiplos modelos sem controle.,SL-S45-05,R09; R19; R22; R23,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S45/SL-S45-06.md,,,PENDENTE,
491,SL-S45-07,v0.8.0,S45,ContextService / LocalAI,Próprio,Implementação,Marcar cache desatualizado,Expor revisão do contexto à UI e reconstruir antes de resposta crítica.,apps/desktop/src/context/status.ts,Usuário não recebe contexto antigo apresentado como versão atual sem indicação.,SL-S45-06,R09; R19; R22; R23,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S45/SL-S45-07.md,,,PENDENTE,
492,SL-S45-08,v0.8.0,S45,ContextService / LocalAI,Próprio,Implementação,Evitar trabalho em mudança visual,"Distinguir posição, relação e corpo do texto na invalidação.",crates/context/src/invalidation.rs,Mover cartão não regenera resumo textual; mudar aresta atualiza mapa relacional.,SL-S45-07,R09; R19; R22; R23,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S45/SL-S45-08.md,,,PENDENTE,
493,SL-S45-09,v0.8.0,S45,ContextService / LocalAI,Próprio,Teste,Medir custo e cobertura,Comparar full-context viável com navegação progressiva em corpus fixo.,reports/context/budget-eval.json,Redução de tokens é medida e não alegada como 80% universal.,SL-S45-08,R09; R19; R22; R23,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S45/SL-S45-09.md,,,PENDENTE,
494,SL-S45-10,v0.8.0,S45,ContextService / LocalAI,Próprio,Teste,Exercitar offline/OOM,Testar interrupção no meio de resumo de grupo e reinício.,tests/context/summary-recovery/,Cache parcial não vira resultado válido e a Mesa permanece editável.,SL-S45-09,R09; R19; R22; R23,Não iniciado,P1,Alto,Obrigatória no escopo da versão,Autor + agente de IA,,,reports/S45/SL-S45-10.md,,,PENDENTE,
495,SL-S45-GATE,v0.8.0,S45,ContextService / LocalAI,Aceite humano,Gate,Aceitar S45 — Implementar summaries incrementais e Skeleton Map,"Revisar as dez tarefas, executar a demonstração do sprint, confrontar critérios e registrar decisão go/no-go.",reports/S45/acceptance.md,"Editar uma célula e recomputar apenas summaries dependentes, sem perder evidências. Todas as dependências aceitas; evidências vinculadas a revisão/ambiente; nenhum blocker de integridade/segurança.",SL-S45-01; SL-S45-02; SL-S45-03; SL-S45-04; SL-S45-05; SL-S45-06; SL-S45-07; SL-S45-08; SL-S45-09; SL-S45-10,R09; R19; R22; R23,Não iniciado,P0,Alto,Obrigatória para fechar a versão aprovada,Autor,,,reports/S45/acceptance.md,,,PENDENTE,
